 _____________________________________________________________________________
   IP            At MAC Address     Count     Len  MAC Vendor / Hostname      
 192.168.53.242  44:19:b6:fe:51:9b      1      60  Hangzhou Hikvision Digital Technology Co.,Ltd.
 192.168.53.243  74:27:ea:aa:a0:b2      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.53.250  10:7d:1a:ff:ec:05      1      60  Dell Inc.
 192.168.53.252  44:8a:5b:ae:63:e4      1      60  Micro-Star INT'L CO., LTD.
 192.168.53.236  78:8a:20:59:fc:aa      1      60  Ubiquiti Networks Inc.
 192.168.53.134  5c:99:60:b4:da:1f      1      60  Samsung Electronics Co.,Ltd
 192.168.54.44   44:8a:5b:ae:63:a2      1      60  Micro-Star INT'L CO., LTD.
 192.168.54.88   f4:8e:38:7f:c0:df      1      60  Dell Inc.
 192.168.54.100  10:7d:1a:3e:7a:b6      1      60  Dell Inc.
 192.168.54.117  f4:8e:38:7e:17:26      1      60  Dell Inc.
 192.168.54.40   f8:cf:c5:7b:4b:98      1      42  Motorola Mobility LLC, a Lenovo Company
 172.16.24.202   1c:83:41:01:8e:6b      1      60  Hefei Bitland Information Technology Co.Ltd
 0.0.0.0         d0:53:49:5a:95:15      1      60  Liteon Technology Corporation
 172.16.26.39    70:77:81:5c:55:4d      1      60  Hon Hai Precision Ind. Co.,Ltd.
 0.0.0.0         70:77:81:5c:55:4d      1      60  Hon Hai Precision Ind. Co.,Ltd.
 192.168.54.53   58:c9:35:5a:76:6f      1      60  Chiun Mai Communication Systems, Inc
 192.168.54.160  f4:8e:38:7e:18:0d      1      60  Dell Inc.
 192.168.54.114  80:c5:f2:e9:f2:41      1      60  AzureWave Technology Inc.
 192.168.54.174  44:8a:5b:50:3e:b9      1      60  Micro-Star INT'L CO., LTD.
 192.168.54.99   8c:d1:72:01:54:86      1      60  Unknown vendor
 192.168.54.198  78:8a:20:59:fc:6a      1      60  Ubiquiti Networks Inc.
 192.168.54.217  d4:be:d9:55:14:aa      1      60  Dell Inc.
 192.168.54.240  44:8a:5b:c7:ae:1c      1      60  Micro-Star INT'L CO., LTD.
 192.168.54.184  34:e9:11:c8:16:e7      1      60  vivo Mobile Communication Co., Ltd.
 192.168.54.191  c8:3d:dc:f8:71:e4      1      60  Xiaomi Communications Co Ltd
 192.168.53.20   08:25:25:a0:76:f8      1      60  Xiaomi Communications Co Ltd
 192.168.54.106  28:39:26:64:84:f3      1      60  CyberTAN Technology Inc.
 192.168.55.54   f4:8e:38:7e:16:e0      1      60  Dell Inc.
 192.168.55.59   44:8a:5b:50:42:a8      1      60  Micro-Star INT'L CO., LTD.
 192.168.55.4    b4:c4:fc:83:ce:32      1      60  Xiaomi Communications Co Ltd
 192.168.55.77   18:e8:29:36:67:bb      1      60  Ubiquiti Networks Inc.
 192.168.55.29   18:db:f2:1d:cd:73      1      60  Dell Inc.
 192.168.54.66   78:8a:20:ea:6d:9c      1      60  Ubiquiti Networks Inc.
 192.168.55.65   a0:32:99:d9:15:9a      1      60  Lenovo (Beijing) Co., Ltd.
 192.168.55.53   50:8f:4c:9b:65:9b      1      60  Xiaomi Communications Co Ltd
 192.168.55.103  58:85:a2:54:e2:17      1      60  Realme Chongqing MobileTelecommunications Corp Ltd
 192.168.55.29   7c:67:a2:84:f6:9d      1      60  Intel Corporate
 192.168.55.164  44:8a:5b:ae:65:6f      1      60  Micro-Star INT'L CO., LTD.
 192.168.55.172  78:8a:20:59:d1:9d      1      60  Ubiquiti Networks Inc.
 192.168.55.171  78:8a:20:59:d1:ba      1      60  Ubiquiti Networks Inc.
 192.168.55.183  78:8a:20:59:fd:e8      1      60  Ubiquiti Networks Inc.
 192.168.55.193  78:8a:20:59:fe:29      1      60  Ubiquiti Networks Inc.
